49.64, 49.21, 8.77, 48.19, 40.44, 39.18, 16.92, 31.87, 16.38, 29.17, 27.82, 22.92, 0.00, 41.51, 5.36, 8.73, 40.84, 22.99, 9.16, 34.06, 6.20, 47.89, 25.06, 7.76, 5.11
23.25, 9.75, 7.16, 13.20, 49.12, 46.43, 20.72, 16.46, 15.23, 3.21, 37.93, 39.36, 31.87, 0.00, 16.50, 47.51, 40.92, 41.48, 32.34, 31.40, 27.22, 2.48, 24.39, 49.14, 18.63
8.97, 27.26, 10.82, 48.85, 22.41, 4.44, 2.52, 23.63, 12.43, 42.22, 24.09, 42.64, 32.45, 44.40, 0.00, 7.10, 43.69, 8.89, 33.46, 46.18, 41.99, 13.51, 41.85, 37.79, 7.31
31.87, 33.82, 13.34, 46.23, 32.11, 13.41, 22.35, 4.29, 12.20, 31.34, 38.05, 5.10, 43.57, 12.29, 41.37, 0.00, 14.44, 1.29, 13.76, 42.46, 44.51, 27.16, 42.74, 8.24, 26.81
23.46, 34.40, 11.35, 32.53, 12.10, 13.40, 5.70, 47.46, 15.04, 12.33, 48.58, 30.73, 6.95, 23.33, 30.43, 3.42, 0.00, 15.10, 36.68, 20.28, 45.84, 38.72, 22.10, 31.23, 33.91
43.15, 39.35, 19.98, 47.71, 36.26, 0.48, 46.85, 21.01, 9.12, 44.92, 43.81, 5.44, 4.12, 35.32, 18.31, 37.83, 27.56, 0.00, 34.62, 40.14, 8.27, 43.04, 24.42, 34.64, 6.35
33.00, 6.38, 25.15, 6.67, 46.02, 29.43, 13.36, 2.17, 37.31, 2.69, 14.81, 47.63, 48.89, 11.59, 4.91, 17.65, 1.09, 19.85, 0.00, 28.87, 30.11, 3.63, 0.02, 40.10, 2.17
12.60, 7.37, 20.06, 0.46, 7.33, 49.62, 9.93, 22.47, 49.32, 12.62, 19.78, 2.71, 40.31, 26.44, 14.10, 16.00, 23.58, 30.55, 27.55, 0.00, 6.93, 38.36, 35.78, 41.83, 15.55
45.27, 35.62, 17.97, 49.91, 48.79, 1.79, 39.83, 47.83, 27.78, 21.93, 30.73, 49.58, 14.65, 32.30, 45.89, 11.78, 1.07, 5.54, 12.15, 8.92, 0.00, 23.46, 14.76, 26.40, 23.32
24.09, 12.46, 36.85, 30.16, 35.69, 27.54, 24.27, 8.86, 20.45, 34.19, 40.22, 7.03, 46.15, 13.38, 39.59, 9.27, 11.80, 2.78, 20.05, 37.12, 42.40, 0.00, 7.49, 40.17, 34.98
1.68, 25.04, 28.37, 49.63, 36.27, 11.44, 39.81, 19.33, 18.11, 26.54, 29.95, 15.88, 14.93, 14.48, 1.82, 14.94, 17.97, 6.77, 43.03, 46.52, 2.41, 30.66, 0.00, 47.58, 45.78
8.82, 6.51, 21.42, 43.81, 25.87, 27.95, 42.54, 27.50, 48.69, 4.25, 9.29, 45.01, 1.46, 17.83, 24.04, 47.63, 37.23, 47.31, 17.39, 49.72, 5.87, 0.18, 5.27, 0.00, 2.99
5.17, 46.16, 2.52, 2.07, 21.18, 15.76, 11.09, 15.89, 14.14, 45.11, 22.29, 22.97, 46.34, 44.36, 17.37, 7.43, 42.76, 47.76, 5.32, 16.24, 7.03, 14.98, 38.13, 28.03, 0.00
